# Glossary in tab-separated format -*- coding: utf-8 -*-
பிள்ளை	chick	
வெள்ளாங் குருகு	white heron
குருகு	heron
நெய்தல்	water lily	literal comparison
நெய்தல்	sea landscape 
வெள்	white	பெயரடை 
செத்து die 
செத்து died
துறைவற்கு	the lord of the shore
கையறு நிலை	helplessness
கையறுபு	helplessly
துறைவன்	lord
கேண்மை	friendship
நாரை	stork
காண்	see
காணிய	to see
செத்து	died
சென்று	went
கண்	eye
என	as
நெஞ்சம்	heart
கள்	honey
கமழ்தல்	to spread fragrance
இரற்றும்	make sound
இரற்றும்	to cry soundly	literary
கானல்	seashore/grove
கானலம்	seashore's/ grove's
புலம்பந்	chief of the seashore / lord of seashore
வரையும்	will marry
வரைதல்	to marry
என்	to say
என்	mine
என்ப	to say
அருள்	grace
அறவன்	of the virtue he
அறவன்	noble, he
போலும்	to resemble	figurative form
போல்	to resemble	figurative form
கூந்தல்	hair
நன்	good	adjective
நெடு	great / long
நன்நெடுங்	good great	adjective
நன்னெடுங்	good great	adjective
ஒழிந்த	lost 
தூவி	feather
மணல்	sand
குலவு	heap
குலவுமணல்	heaped sand
பெறூஉம்	to get
பெறு	get
துறைவனோடு	the lord of the shore
கண்	eye
செய்	do
சென்ற	went
நடை	walk / walking
நடை	stepping / gait
மட	soft
மட	innocent
யானே	I
ஈன்ற	to bore, to give
பாவை	doll
பாவை	girl
பைஞ்சாய்ப்	a kind of grass
பைஞ்சாய்	a kind of grass
ஓதமொடு	along the waves
பெயரும்	moved
துறைவற்குப்	for the lord of the seashore
துறைவற்கு	for the lord of the shore
செம்	red
மறு	spot
செம்மறுத்	red spot
பதைப்ப	trembled
துறைவன்	lord of the shore
தெண்	clear, bright
கழிப்	backwaters
பரக்குந்	spreads
வேறே	different, differently
காதலன்	lover
எனக்கோ	for me
அனைக்கோ	for her 
காலை	morning
மாலைச்	evening
மாலை	evening, garland
கடல்	sea, ocean
சேர்ப்பனொடு	with the lord of the shore
வாரான்	he did not come
தான்	oneself
தான்	just
வந்தனன்	came
பெருந்துறைத்	big Ghat / Port
துணையொடு	with its companion
கொட்கு	to roam,to revolve
கொட்கும்	to roam, to revolve
தண்	cool
தண்ணந்	cool
மா	greatness, beautiful, animal
மேனி	body, complexion
எம்	our
தோழியது	friend's	female friend
துயரே	sorrow
துயர்	sorrow
பசி	hunger
தின	to cause
அல்கும்	to stay, stayed
பனி	coolness
நீர்ச்	water
நீர்	water
நின்	you
ஒன்று	one
இரக்குவென்	to beg
இரக்கு	to beg
அல்லேன்	i will not
கொண்ட	with you, have, having
இவள்	she, her
நலனே	virtues
சென்மோ	go
சென்மோ	leave
பண்டையின்	old days
துறைவ	you lord of this seashore
நோய்	to suffer
மிகும்	increase
இனைஇ	to be worried
இனை	agony
இனை	to be worried
முயங்குமதி	embrace
முயங்கு	embrace
பெரும	lord	here, in the context of hero
மயங்கினள்	confused
நாடுமோ	will ever seek
போர்வின்	from heap
உளர	preened
பொய்க்கும்	saying lies
பதைப்பத்	trembled
ததைந்த	trampled
கழிய	backwaters
மிதிப்ப	stepped
நக்க	blossomed
கண்போல்	like the eyes
கூற்று	poem utterance
தலைவி	heroine
தோழியிடம்	to the friend of the heroine
நெக்க	will not yield or relent
தந்தனை	give back
தோழி	friend of the heroine
வாயில்களிடம்	to the messangers
இவ்வூரே	this town
செய்கோ	will do
தலைவனின்	hero's
நண்பர்களிடம்	friends
